bin,DPPC,W,CHOL,Tail,Gli,Fosf,ZNPC,Lipid,DPPC_smooth,W_smooth,CHOL_smooth,Tail_smooth,Gli_smooth,Fosf_smooth,ZNPC_smooth,Lipid_smooth
-10.141554715718556,0.8806154327719571,0.0006087424639478686,0.0,0.8766995643024666,0.0015900417903998458,3.5624466706532433e-06,0.0,0.8806154327719571,0.8918777645142464,0.002147267455021797,0.0,0.8751328298123331,0.0070867452944636975,6.460672719735715e-05,0.0,0.8918777645142464
-9.641554715718556,0.8742220457532738,0.00036108285627450024,0.0,0.8722905153211902,0.0007474191798521065,1.4249786682612974e-06,0.0,0.8742220457532738,0.8856784073644924,0.0013237993521391562,0.0,0.8759678151202973,0.004047765794461425,2.5278890450415325e-05,0.0,0.8856784073644924
-9.141554715718556,0.867632330435183,0.00018706365315367354,0.0,0.8668312853488583,0.00032639134958090983,0.0,0.0,0.867632330435183,0.8796701820577646,0.0007821695092394651,0.0,0.8742706841869433,0.0022115589578951024,1.0453551060548843e-05,0.0,0.8796701820577646
-8.641554715718556,0.8612746687773138,0.00011759695387631557,0.0,0.8610163232288988,0.00013243359566500153,0.0,0.0,0.8612746687773138,0.8737004588947694,0.0004571217694429964,0.0,0.8708989416144466,0.0011617447960155301,2.4042055191272536e-06,0.0,0.8737004588947694
-8.141554715718556,0.8521732559484902,5.4526404359923033e-05,0.0,0.8523623840894959,5.57226209100237e-05,0.0,0.0,0.8521732559484902,0.8671835467372435,0.0002658024663224562,0.0,0.8658400144581819,0.0005704017072815775,9.974850677829082e-07,0.0,0.8671835467372435
-7.641554715718556,0.8466492217222584,4.608829047306756e-05,0.0,0.8466936403379316,1.7730320756669277e-05,0.0,0.0,0.8466492217222584,0.8603903045273039,0.00015327163162749598,0.0,0.859838829665275,0.0002559394133529422,2.8499573365225947e-07,0.0,0.8603903045273039
-7.141554715718556,0.8351724983461363,2.7681052761481275e-05,0.0,0.8356823744619216,6.236733201399708e-06,0.0,0.0,0.8351724983461363,0.8525803950458763,8.65912709248922e-05,0.0,0.8525172014934211,0.0001077029240228008,0.0,0.0,0.8525803950458763
-6.641554715718556,0.8214514321516622,2.9902570934178555e-05,0.0,0.8220959727719751,2.849957336522595e-06,0.0,4.488851170180805e-08,0.8214514321516622,0.8433442153891721,5.515905448099319e-05,0.0,0.8435701389780446,4.299464557392336e-05,0.0,8.97770234036161e-09,0.8433442153891721
-6.141554715718556,0.8049395197644986,2.327145122159196e-05,0.0,0.8052512157766657,0.0,0.0,1.3466553510542413e-07,0.8049395197644986,0.8320771855866091,3.6293953950048484e-05,0.0,0.8324171174875981,1.6507926440923058e-05,0.0,3.591080936144644e-08,0.8320771855866091
-5.641554715718556,0.782982063303088,2.612140855811455e-05,0.0,0.7836285627325004,0.0,0.0,3.1421958191265633e-07,0.782982063303088,0.8182389470575286,3.0612954789686784e-05,0.0,0.8186703532161989,5.3634022589183155e-06,0.0,9.87547257439777e-08,0.8182389470575286
-5.141554715718556,0.7533815088562944,3.1731546207756127e-05,0.0,0.753809322295581,5.348768759870176e-07,0.0,3.886374195883905e-06,0.7533815088562944,0.7995854044843359,2.7741605936624495e-05,0.0,0.8000934896077287,1.924313482781864e-06,0.0,8.760295649207587e-07,0.7995854044843359
-4.641554715718556,0.7192592128585462,3.1063945385327284e-05,0.0,0.7198323119890009,5.348768759870176e-07,0.0,6.037237493136013e-06,0.7192592128585462,0.7764027473868179,2.8418184461393694e-05,0.0,0.7769234771131447,7.83942217699326e-07,0.0,2.0834770635479617e-06,0.7764027473868179
-4.141554715718556,0.6818486889855679,2.8971365894637147e-05,0.0,0.681817570492396,3.209261255922106e-06,0.0,2.4952623257227577e-05,0.6818486889855679,0.748482198753599,2.823194345348541e-05,0.0,0.7488677966572288,8.558030015792282e-07,0.0,7.065024012653115e-06,0.748482198753599
-3.6415547157185557,0.6436268106604409,2.5683977147293033e-05,0.0,0.6433221254781503,9.0929068917793e-06,0.0,4.898151409089058e-05,0.6436268106604409,0.7162196569327876,2.871444863862563e-05,0.0,0.7164819785975257,2.6743843799350883e-06,0.0,1.683439372381015e-05,0.7162196569327876
-3.1415547157185557,0.6096403233773858,4.064052631093838e-05,0.0,0.6090271487930523,1.81858137835586e-05,0.0,0.00011025384053617852,0.6096403233773858,0.681551308947647,3.161827218919039e-05,0.0,0.6815616958096361,6.311547136646808e-06,0.0,3.882231791466332e-05,0.681551308947647
-2.6415547157185557,0.5871238379355898,4.18019007620871e-05,0.0,0.5862293238350094,3.904601194705228e-05,0.0,0.00022434106156615544,0.5871238379355898,0.6482997747635062,3.363234310005659e-05,0.0,0.6480456961175218,1.4013774150859861e-05,0.0,8.291325538871763e-05,0.6482997747635062
-2.1415547157185557,0.5755883684711666,3.84638966499429e-05,0.0,0.5747107823883626,6.846424012633825e-05,0.0,0.00041810346407340857,0.5755883684711666,0.6195656058860302,3.511233335297971e-05,0.0,0.6190213901973941,2.7599646800930104e-05,0.0,0.00016532650070477214,0.6195656058860302
-1.6415547157185557,0.579967092533252,3.227020834817782e-05,0.0,0.5790095840340639,0.00011178926708128669,0.0,0.0007494651277862493,0.579967092533252,0.599189286595567,3.577210184368784e-05,0.0,0.5984597929057276,4.931564796600302e-05,0.0,0.0003102290016105765,0.599189286595567
-1.1415547157185557,0.5987228732039234,3.637131715925277e-05,0.0,0.5978877634930633,0.00019041616785137825,0.0,0.0012577559712058483,0.5987228732039234,0.5902084991042635,3.7909569846079794e-05,0.0,0.5893729205087104,8.558030015792281e-05,0.0,0.000551983893033568,0.5902084991042635
-0.6415547157185557,0.627799123905033,3.6012209065638296e-05,0.0,0.627172205039599,0.0002711825761254179,0.0,0.0020188173224788023,0.627799123905033,0.593840259209793,3.698390639701977e-05,0.0,0.5930019317580196,0.00013617965262629467,0.0,0.0009336965894220928,0.593840259209793
