frames_z,transf_z_angle_deg,angles_2
209,80.488528275109,65.83857846267661
210,85.33890811277215,51.618707232301006
211,79.79226317690474,65.27200218693989
212,84.06234240477214,54.37575681796545
213,89.83365539309162,50.864355758109554
214,87.26126904051236,54.88739435062763
215,84.84029449129007,49.63675173389692
216,86.19652649253152,56.11426038660652
217,89.58111741708554,52.19907951318905
218,89.07557428041832,59.285267006141865
219,85.26692008342779,50.03206205147606
220,81.74005073100847,65.28471738070633
221,78.65379972699996,63.95896779592252
222,82.64289289772444,68.19414205754865
223,81.25306102108108,57.82602088676417
224,78.23539782539571,61.24871638006533
225,86.15318880687538,58.576511456252135
226,76.4425204587951,68.9645180602615
227,81.02932247750589,62.14175898993595
228,71.18235710115765,49.887083778925415
229,74.85956994692285,52.29610340022374
230,70.84073929134198,60.885941229639926
231,71.29207644170955,68.2829653285233
232,65.63385043600913,62.57449850776421
233,83.29333755813502,74.68104695869594
234,79.90208579694519,70.47863899213274
235,89.01189677595079,65.31675526457182
236,81.51814269586393,76.03031408677954
237,80.35669846867115,64.88523232217493
238,84.40434877118302,66.50030632941667
239,68.65153265998619,80.52906223844978
240,74.87240019623869,75.91207706094784
241,78.43754266913017,74.4281028487574
242,72.15298460597887,76.44315297798676
243,89.66639647462885,82.36911046391506
244,89.6642913291402,83.38270811668372
245,87.79716059281253,67.40880050372111
246,77.43696383927347,74.2686847768087
247,80.86409490486629,73.22827410309279
248,73.147322634715,87.73485266045402
249,74.2917843209285,64.57028463934616
250,74.47212343735404,51.05721898891207
251,75.95345711670494,67.4145780880439
252,88.25924044337732,68.94668701747469
253,85.71989941238625,67.97295366046097
254,87.41524697106806,58.08330090857157
255,73.60491229196933,70.32318455758711
256,68.36814525487932,64.33386893714354
257,61.71368073291743,65.48966230336809
258,67.4157743776804,58.49278726613524
259,70.13725657857742,58.32646162780232
260,64.00991342859999,82.95376075715555
261,82.94076589666443,81.1644536451057
262,88.33146487024574,88.19436068815715
263,84.37104590352122,73.50184600420127
264,80.90748954558302,69.05657217211161
265,89.25026785814619,75.22348897093403
266,74.41389538262324,59.28408324480924
267,76.67550783060935,55.541146132015925
268,68.67402521941365,68.21922575624934
269,67.54895942465538,70.62737738124345
270,58.85145310373749,72.68867155683859
271,64.30576399962179,72.55758722269364
272,69.49763221180385,66.80843592545784
273,68.8217953804721,58.30585369556141
274,64.26756153249444,80.79969977680254
275,63.93976371619168,71.99402783257273
276,60.0507674582523,79.1876959274281
277,60.085183172799255,65.70722333208508
278,61.170646512316914,70.10477682012869
279,61.542887580560325,70.48150868145167
280,68.68784015001258,58.48032493104421
281,81.17516202286376,57.15903157337401
282,74.41990446409808,51.41942008683751
283,71.72300514408,61.29415910959912
284,79.19611596820398,56.01914921653476
